transc,R (pearson correlation),R squared
Q0045,-0.018401015228427225,0.00033859736143681065
Q0050,0.992248383495349,0.9845568545491333
Q0055,,
Q0060,,
Q0065,,
Q0070,,
Q0075,,
Q0080,,
Q0085,0.06861435270158725,0.004707929396657814
Q0105,-0.05462156173291159,0.002983515006142272
Q0110,,
Q0115,,
Q0120,,
Q0130,0.5373326522296487,0.28872637915214855
Q0140,,
Q0160,,
Q0250,-0.09686224825534676,0.009382295137080426
Q0255,,
Q0275,-0.05351537321049628,0.0028638951698587026
R0010W,0.662119550437122,0.43840229907105654
R0020C,0.8535985384982313,0.7286304649263164
R0030W,0.6453331493545477,0.4164548736558589
R0040C,0.940066990667715,0.8837259469430538
YAL001C,0.3403382789734852,0.11583014413463383
YAL002W,0.08467485686587832,0.007169831385256981
YAL003W,0.8300774530127769,0.6890285780001789
YAL005C,0.7086536904356472,0.5021900529680621
YAL007C,0.699432122947232,0.48920529461047185
YAL008W,0.791181510565701,0.6259681826610244
YAL009W,0.42728714870751994,0.18257430745060227
YAL010C,0.5585392490321884,0.31196609270944103
YAL011W,-0.060031435166261415,0.0036037732081210475
YAL012W,0.7316809956075822,0.5353570793333027
YAL013W,0.3550690345797782,0.12607401931741571
YAL014C,0.29183544301258296,0.08516792579835056
YAL015C,0.40914170716326675,0.16739693654047233
YAL016W,0.5254415249333383,0.27608879612427195
YAL017W,0.3777289133924378,0.14267913201263177
YAL018C,,
YAL019W,0.29071314123668407,0.08451413048770022
YAL020C,0.25757989490346955,0.06634740225848242
YAL021C,0.5321870849699348,0.28322309340879664
YAL022C,0.5142729467327152,0.2644766637411501
YAL023C,0.4413851251416271,0.1948208286962898
YAL024C,0.4464409475923765,0.19930951968717908
YAL025C,0.7794117599390141,0.6074826915312314
YAL026C,0.3272904233613392,0.10711902122404464
YAL027W,0.6368030819160285,0.40551816513775213
YAL028W,-0.03423056871205252,0.0011717318343505488
YAL029C,0.5162215780137365,0.2664847176069922
YAL030W,0.7924406921693165,0.6279622506057854
YAL031C,0.49891387989999175,0.24891505955686338
YAL032C,0.4780455498636068,0.22852754774439818
YAL033W,0.5147631397921668,0.26498109008868986
YAL034C,0.6342664839087446,0.4022939726099618
YAL034W-A,0.680640653343513,0.4632716989838842
YAL035W,0.6336367768361618,0.40149556495931993
YAL036C,0.6458307474282357,0.41709735432371353
YAL037C-A,,
YAL037W,0.34473442212280603,0.11884182179634502
YAL038W,0.7472645867018718,0.5584043625387193
YAL039C,0.6564414485485155,0.4309153753724733
YAL040C,0.4357534211298265,0.18988104402634792
YAL041W,0.6575832387758828,0.43241571591897965
YAL042W,0.39445761310996813,0.1555968085404133
YAL043C,0.4502474707336089,0.20272278490201198
YAL044C,0.8616885330120254,0.7425071279244164
YAL044W-A,0.6784024136541432,0.46022983485176727
YAL046C,0.683840610659313,0.4676379807869021
YAL047C,0.26049546090144116,0.06785788515025426
YAL048C,0.3076068891277378,0.09462199823884439
YAL049C,0.4032358796629728,0.16259917464757148
YAL051W,0.5092601155405444,0.2593458652803686
YAL053W,0.5247538475703944,0.2753666005399328
YAL054C,0.1682766877848731,0.028317043651847656
YAL055W,0.380604707911131,0.14485994368411734
YAL056W,0.30053449259299264,0.09032098123812755
YAL058W,0.4541389973046762,0.2062422288728967
YAL059W,0.8048066832322442,0.6477137973752859
